label,_id,ltable_Id,rtable_Id,ltable_Title,ltable_Category,ltable_Duration,ltable_Rating,ltable_Rating_Count,ltable_Director,rtable_Title,rtable_Category,rtable_Duration,rtable_Rating,rtable_Rating_Count,rtable_Director
0,9361,13312,482,Day of the Dove,"Action,Adventure,Mystery",51,80,1143,Marvin J. Chomsky,Enemy of the State,"Action,Adventure,Mystery",150,70,372512,"Tony Scott,"
1,533,512,7988,Grumpy Old Men,"Comedy,Drama,Romance",103,69,34973,Donald Petrie,Grumpy Old Men,"Comedy,Drama",103,64,154021,"Donald Petrie,"
0,7026,9308,8970,American Gladiators,"Action,Television,Sport",60,66,1516,,American Splendor,"Art House,International,Comedy,Drama",100,74,44354,"Robert Pulcini,Shari Springer Berman,"
1,7906,10728,5738,Iceman,"Drama,Sci-Fi",100,61,4148,Fred Schepisi,Iceman,"Drama,Science Fiction,Fantasy",101,60,3130,"Fred Schepisi,"
1,9471,13447,2805,Tom & Viv,"Biography,Drama,Romance",115,65,1304,Brian Gilbert,Tom & Viv,"Drama,Romance",125,66,1304,"Brian Gilbert,"
0,243,247,9845,Challenge of the Superfriends,"Animation,Action,Family",30,78,965,,Revenge of the Nerds,Comedy,90,66,56267,"Jeff Kanew,"
0,3376,4117,995,The Black Adder,Comedy,195,82,27200,,The Black Cauldron,"Action,Adventure,Animation,Kids,Family,Science Fiction,Fantasy",82,62,45423,"Ted Berman,Richard Rich,"
0,7578,10099,8072,Wonder Woman,"Action,Adventure,Fantasy",45,45,1440,Jeffrey Reiner,Wonder Woman,"Action,Adventure,Science Fiction,Fantasy",,,5555,"Patty Jenkins,"
0,13325,21331,17555,The Book of Pooh,Family,30,63,352,,The Sign of Four,"Action,Adventure,Mystery",90,62,16,"Rodney Gibbons,"
0,8049,10995,14813,The Year of the Mouse,"Animation,Family,Short",6,68,191,"Chuck Jones,Maurice Noble",Trial of the Moke,Drama,90,,15,
1,13493,21673,12898,The Karate Kid,"Action,Drama,Family",140,62,121641,Harald Zwart,The Karate Kid,"Action,Adventure,Drama,Kids,Family",140,70,282304,"Harald Zwart,"
0,4546,5960,19133,The Shannara Chronicles,"Adventure,Fantasy,Sci-Fi",42,75,33270,"Alfred Gough,Miles Millar",Space Rangers Chronicles 3,"Science Fiction,Fantasy",100,,0,
0,10706,16206,7871,Comedy Central Roast of Denis Leary,Comedy,99,67,828,John Fortenberry,Comedy Central Roast of James Franco,"Comedy,Television",70,80,223,
0,13281,21302,11595,Home Makeover,"Animation,Short,Comedy",5,71,900,"Kyle Balda,Samuel Tourneux",The Makeover,"Comedy,Television",,52,76,
0,2625,2803,9454,The Black Hen,Drama,90,76,252,Min Bahadur Bham,The Black Balloon,Drama,102,78,4643,"Elissa Down,"
0,563,544,4377,The Amazing Spider-Man,"Action,Adventure",136,70,457122,Marc Webb,The Amazing Spider-Man 2,"Action,Adventure,Drama,Science Fiction,Fantasy",142,72,220340,"Marc Webb,"
1,8530,11918,12523,The Best of Times,"Comedy,Drama,Sport",104,59,5215,Roger Spottiswoode,The Best of Times,"Comedy,Drama",105,58,6474,"Roger Spottiswoode,"
0,8029,10931,6966,The Other Side of Madness,"Crime,Drama",82,48,149,Frank Howard,The Other Side,Comedy,,,0,
0,5370,6912,14826,The Tenth Man,"Drama,War",100,71,974,Jack Gold,The Meteor Man,"Action,Adventure,Comedy,Science Fiction,Fantasy",100,50,6375,"Robert Townsend,"
1,1246,1400,26,The BFG,"Adventure,Family,Fantasy",117,67,17175,Steven Spielberg,The BFG,"Kids,Family,Science Fiction,Fantasy",115,70,33388,"Steven Spielberg,"
1,4095,5186,14013,Saturday Night Live: The Best of Eddie Murphy,"Documentary,Comedy",77,75,850,"Andy Breckman,Dave Wilson",Saturday Night Live: The Best of Eddie Murphy,Comedy,86,76,4633,"Dave Wilson,"
1,12215,18963,1618,Presenting Princess Shaw,"Documentary,Musical",83,67,248,Ido Haar,Presenting Princess Shaw,"Art House,International,Documentary,Musical,Performing Arts",80,84,343,"Ido Haar,"
0,5917,7585,3571,It's a Wonderful Life,"Drama,Family,Fantasy",130,86,280147,Frank Capra,What a Wonderful World,Drama,,,20,
0,730,681,17712,The New Adventures of Superman,"Animation,Sci-Fi",30,76,415,,The Bawdy Adventures Of Tom Jones,"Action,Adventure,Comedy,Musical,Performing Arts",94,,45,"Cliff Owen,"
0,6887,9129,9653,Wrath of the Titans,News,30,,,,War of the Worlds,"Action,Adventure,Science Fiction,Fantasy",117,58,32518096,"Steven Spielberg,"
0,2272,2560,9606,The Young Ones,Comedy,410,82,10633,,The Young Victoria,Drama,105,70,164477,"Jean-Marc Valle,"
0,9882,14164,12884,Henry: Portrait of a Serial Killer,"Biography,Crime,Drama",83,70,23592,John McNaughton,Portrait of a Stripper,Drama,100,,11,"John A. Alonzo,"
1,5817,7490,9299,Gladiator,"Action,Adventure,Drama",155,85,999279,Ridley Scott,Gladiator,"Action,Adventure,Classics,Drama",171,76,34126525,"Ridley Scott,"
0,6252,8020,3360,Gods Behaving Badly,"Comedy,Drama",90,63,72,Marc Turtletaub,Behaving Badly,"Comedy,Drama",98,50,3896,"Tim Garrick,"
0,6901,9144,9963,Main Street,Drama,92,47,2170,John Doyle,Wall Street,Drama,126,72,50196,"Oliver Stone,"
0,4646,6126,16004,George of the Jungle,"Animation,Adventure,Comedy",0,43,618,,Welcome to the Jungle,Horror,82,52,1791,"Jonathan Hensleigh,"
0,11058,16909,9382,Computer Space,"Action,Sci-Fi",0,68,10,,Computer Chess,Comedy,92,64,2840,"Andrew Bujalski,"
1,4297,5544,5100,Parkland,"Drama,History,Mystery",93,63,11887,Peter Landesman,Parkland,Drama,93,64,9622,"Peter Landesman,"
0,7484,9938,14272,Untitled Stan Lee Project,"Action,Adventure",0,,,,Untitled Wes Anderson Project,,,,21,"Wes Anderson,"
0,2861,3209,16499,Birds of America,"Comedy,Drama",85,62,4864,Craig Lucas,Africans in America,"Documentary,Special Interest",90,,3,
0,11237,17160,16996,Love Me,Mystery,97,54,730,Rick Bota,Love Matters,"Drama,Romance",97,,15,"Eb Lottimer,"
0,4966,6474,254,Iron Man,Comedy,0,74,40,,Early Man,,,,10,"Nick Park,"
0,10843,16494,14023,Best Defense,"Comedy,War",94,36,4701,Willard Huyck,Best Defense,"Action,Adventure,Comedy,Mystery",94,48,5596,"Willard Huyck,"
0,5940,7607,14766,Double Team,"Action,Comedy,Sci-Fi",93,47,25503,Hark Tsui,Double Whammy,"Comedy,Drama",93,58,1601,"Tom DiCillo,"
1,2178,2446,3913,House on Haunted Hill,Horror,75,69,16325,William Castle,House on Haunted Hill,"Horror,Mystery",96,58,89287,"William Malone,"
0,7486,9941,2592,Untitled Hugh Jackman Project,"Action,Adventure",0,,,,Untitled Neill Blomkamp/Alien Project,,,,32,"Neill Blomkamp,"
0,12580,19625,12651,Big Brother,Television,60,43,2325,,Big Driver,Mystery,120,56,264,"Mikael Salomon,Michael Salomon,"
1,3922,5053,1307,Maggie's Plan,"Comedy,Drama,Romance",98,63,5965,Rebecca Miller,Maggie's Plan,Comedy,98,64,7290,"Rebecca Miller,"
0,7203,9528,2592,Untitled Bill & Ted Project,Comedy,0,,,Dean Parisot,Untitled Neill Blomkamp/Alien Project,,,,32,"Neill Blomkamp,"
0,10048,14601,16276,Rabid Dog,"Crime,Drama,Mystery",48,91,10808,Sam Catlin,Dead Dog,Mystery,,58,79,"Christopher Goode,"
1,6147,7890,17644,Shock Treatment,"Comedy,Musical",94,58,3544,Jim Sharman,Shock Treatment,"Comedy,Musical,Performing Arts,Television",94,66,8049,"Jim Sharman,"
0,725,681,5337,The New Adventures of Superman,"Animation,Sci-Fi",30,76,415,,The Adventures of Ragtime,,120,,1,"William Byron Hillman,"
0,9550,13627,2867,CBS This Morning,"News,Television",120,54,40,,Son Of Morning,"Comedy,Drama",81,42,72,"Yanviz Raz,Yaniv Raz,"
0,66,63,4626,Untitled Max Landis Project,Adventure,0,,,,Untitled Woody Allen Project,Comedy,,,13,"Woody Allen,"
0,3860,4932,18555,God's Not Dead,,84,50,1715,,God's New Plan,"Drama,Television",93,64,270,"Michael Switzer,"
0,2195,2474,176,Ghostbusters 2016,"Comedy,Television",51,,,,Ghostbusters,"Action,Adventure,Comedy,Science Fiction,Fantasy",105,62,112895,"Paul Feig,"
0,3194,3753,5615,Match of the Day 2,Sport,45,78,518,,Back In The Day,,121,52,65,"Paul Borghese,"
0,4962,6471,76,Assassin's Creed 2,"Action,Adventure,History",0,,,,Assassin's Creed,"Action,Adventure,Drama",116,,39334,"Justin Kurzel,"
1,8787,12261,5118,Intolerable Cruelty,"Comedy,Crime,Romance",100,63,77263,"Joel Coen,Ethan Coen",Intolerable Cruelty,"Comedy,Romance",100,58,66430,"Joel Coen,"
1,5998,7663,13832,Evening,"Drama,Romance",117,66,11738,Lajos Koltai,Evening,Drama,117,62,123694,"Lajos Koltai,"
0,12649,19771,6455,Prince Family Paper,Comedy,22,79,922,Asaad Kelada,Prince and the Pauper,"Action,Adventure",,64,2384,"Giles Foster,"
0,3935,5069,1562,The Love Witch,"Comedy,Horror",120,67,146,Anna Biller,The Noonday Witch,Horror,90,,1,
0,5150,6677,2401,The Adventures of Nick,Animation,0,78,26,,The Adventures of Ford Fairlane,"Comedy,Mystery",101,64,8509,"Renny Harlin,"
1,10923,16637,750,Spy Game,"Action,Crime,Mystery",126,70,122430,Tony Scott,Spy Game,"Action,Adventure,Drama,Mystery",127,66,113770,"Tony Scott,"
0,8994,12636,839,After Lately,Comedy,0,70,490,,After Earth,"Action,Adventure,Science Fiction,Fantasy",100,56,121343,"M. Night Shyamalan,"
0,7383,9803,11885,The Invisible Man,"Comedy,Mystery,Sci-Fi",120,76,2436,,The Invisible Front,Documentary,86,86,50,"Vincas Sruoginis,Jonas Ohman,"
0,7143,9433,5002,The Man Who Forgot His Wife,Drama,0,,,,The Man Who Wasn't There,"Action,Adventure,Comedy,Mystery,Science Fiction,Fantasy,Romance",111,46,81,"Bruce Malmuth,"
0,7700,10319,5693,Real Rob,Comedy,30,67,942,,Real Eve,"Special Interest,Television",100,,6,
0,1064,1149,412,Still Walking,Drama,115,80,7618,Hirokazu Koreeda,Still Waters,Mystery,,,3,"Ray Burdis,"
0,10698,16194,18710,This Is Not Happening,Comedy,0,81,219,,This Is Not a Test,"Comedy,Drama",89,62,2052,"Chris Angel,"
1,9577,13654,13800,King of New York,"Crime,Mystery",103,70,24116,Abel Ferrara,King of New York,"Action,Adventure,Drama",106,74,21008,"Abel Ferrara,"
0,5319,6843,2360,Father of the Bride Part II,"Comedy,Family,Romance",106,59,27000,Charles Shyer,Father of the Bride,Comedy,105,64,374935,"Charles Shyer,"
0,8223,11347,13387,Blood on the Streets,"Crime,Drama,Action",110,63,1231,Jacques Deray,Weather in the Streets,Drama,110,,7,"Gavin Millar,"
0,2562,2757,1774,Partners,Comedy,22,60,1135,"Robert L. Boyett,Robert Horn",Partners,Comedy,93,60,399,"James Burrows,"
0,3674,4608,11281,About Her Brother,Drama,126,72,441,Yji Yamada,Brother to Brother,Drama,90,70,1068,"Rodney Evans,"
0,6764,8907,16499,Captain America,"Action,Sci-Fi,War",97,33,8717,Albert Pyun,Africans in America,"Documentary,Special Interest",90,,3,
0,3905,5002,1832,My America,Drama,0,63,119,Marcello Daciano,My All American,Drama,118,80,3637,"Angelo Pizzo,"
1,604,592,3469,The Bourne Legacy,"Action,Adventure,Drama",135,67,234264,Tony Gilroy,The Bourne Legacy,"Action,Adventure,Mystery",135,70,281577,"Tony Gilroy,"
1,520,499,16088,Luster,"Comedy,Drama",92,55,1026,Everett Lewis,Luster,"Comedy,Drama,Adult",90,58,936,"Everett Lewis,"
1,8136,11188,14731,Taxi,"Action,Comedy,Crime",97,44,33286,Tim Story,Taxi,"Action,Adventure,Comedy",98,56,183749,"Tim Story,"
0,4934,6443,9282,Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",169,71,477886,Gore Verbinski,Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Comedy,Science Fiction,Fantasy",151,78,1845954,"Gore Verbinski,"
0,13401,21502,4369,All Night,"Comedy,Drama",58,61,46,Paul Powell,All Is Bright,"Comedy,Drama",107,52,722,"Phil Morrison,"
0,9939,14276,8247,Super Robin,"Animation,Action,Comedy",12,44,64,Peter Rida Michail,Super Hybrid,"Horror,Mystery",,46,237,"Eric Valette,"
1,10778,16360,8907,M,"Crime,Drama,Mystery",99,84,100726,Fritz Lang,M,"Art House,International,Drama,Mystery",105,88,35541,"Fritz Lang,"
0,1180,1333,5823,Untitled Shimit Amin/YRF Project,Drama,0,,,,Untitled McG Sci-Fi/Adventure Project,Mystery,117,78,125,"McG,"
0,8740,12205,19087,Welcome to Hard Times,"Drama,Western",103,61,1077,Burt Kennedy,Welcome to the Family,,120,,1,"Alton Glass,"
0,1326,1517,1841,The Delivery Man,Comedy,30,73,470,,The Wicker Man,"Action,Adventure,Drama,Horror,Mystery",106,46,88493,"Neil LaBute,"
0,2452,2705,18195,American Blood,"Crime,Drama",0,,,,American Tragedy,"Drama,Television",170,,50,"Lawrence Schiller,"
1,6298,8067,19066,"Me, Natalie","Comedy,Drama",111,70,648,Fred Coe,"Me, Natalie","Classics,Comedy,Drama",111,76,423,"Fred Coe,"
0,9293,13119,15536,The Great Gatsby,News,30,,,,The Great Chameleon,Comedy,,,3,"Goran Kalezic,"
1,6130,7872,1575,Zoom,"Animation,Comedy,Drama",96,63,949,Pedro Morelli,Zoom,"Animation,Art House,International,Comedy,Drama",96,64,282,"Pedro Morelli,"
1,9851,14112,8872,Let Me In,"Drama,Fantasy,Horror",116,72,93524,Matt Reeves,Let Me In,"Drama,Horror,Science Fiction,Fantasy,Romance",116,74,66144,"Matt Reeves,"
0,1850,2097,1795,In Search of...,"Documentary,Sci-Fi",30,86,598,,In Search of Gregory,"Drama,Romance",90,,10,"Peter Wood,"
0,12706,19873,6966,The Other,Drama,83,60,455,Ariel Rotter,The Other Side,Comedy,,,0,
0,12667,19811,17281,Maps to the Stars,"Comedy,Drama",111,62,29000,David Cronenberg,Beyond the Stars,"Drama,Mystery,Science Fiction,Fantasy",94,56,210,"David Saperstein,"
1,1582,1715,2398,Wayne's World,"Comedy,Musical",94,70,116049,Penelope Spheeris,Wayne's World,Comedy,95,68,461410,"Penelope Spheeris,"
1,7234,9564,4491,Drive Hard,"Action,Comedy,Crime",92,43,3171,Brian Trenchard-Smith,Drive Hard,"Action,Adventure,Art House,International,Comedy,Special Interest",96,42,398,"Brian Trenchard-Smith,"
0,2725,2979,2103,Wyrd Sisters,"Animation,Comedy,Fantasy",140,72,703,,Go For Sisters,Drama,122,64,336,"John Sayles,"
1,13229,21107,913,Om Shanti Om,"Action,Comedy,Drama",162,66,29529,Farah Khan,Om Shanti Om,"Action,Adventure,Comedy,Drama",162,80,27080,"Farah Khan,"
0,3128,3616,16540,The X Factor,"Musical,Television",60,45,3495,,Chill Factor,"Action,Adventure,Mystery",102,54,13197,"Hugh Johnson,"
1,5712,7393,10049,Teenage Mutant Ninja Turtles,"Action,Adventure,Comedy",93,67,70584,Steve Barron,Teenage Mutant Ninja Turtles: The Movie,"Action,Adventure,Kids,Family,Science Fiction,Fantasy",93,66,251612,"Steve Barron,Steven Barron,"
0,7098,9372,8264,Shall We Dance,"Comedy,Drama,Romance",106,61,35880,Peter Chelsom,Sparrows Dance,"Comedy,Drama,Romance",81,76,216,"Noah Buschel,"
0,6784,8919,11693,Captain America,"Animation,Comedy",0,73,40,,Made in America,"Documentary,Musical,Performing Arts",93,60,272,"Ron Howard,"
1,7300,9677,5591,ATL,"Comedy,Crime,Drama",105,60,8570,Chris Robinson,ATL,"Comedy,Drama",105,78,117034,"Chris Robinson,"
0,4021,5169,14010,Saturday Night Live: Weekend Update Thursday,Comedy,0,72,514,,Saturday Night Live: The Best of John Belushi,"Comedy,Television",78,80,1572,"Kenneth Bowser,"
1,11154,16972,4539,The Canal,"Horror,Mystery",92,59,9346,Ivan Kavanagh,The Canal,Horror,92,64,1110,"Ivan Kavanagh,"
0,4500,5923,1292,Last Day on Earth,Television,42,61,49,,4:44 Last Day on Earth,"Drama,Science Fiction,Fantasy",85,44,1687,"Abel Ferrara,"
1,2351,2632,16233,My Beautiful Broken Brain,"Documentary,Biography",86,72,1018,"Sophie Robinson,Lotje Sodderland",My Beautiful Broken Brain,"Art House,International,Documentary",86,76,116,"Sophie Robinson (VI) ,Lotje Sodderland (II) ,Lotje Sodderland,Sophie Robinson,"
0,10113,14723,15128,Pond Life,"Short,Comedy,Sci-Fi",5,82,671,,Wild Life,"Art House,International,Comedy,Drama,Mystery",121,60,72,"Shinji Aoyama,"
1,8550,11952,10477,Nell,Drama,112,65,22985,Michael Apted,Nell,Drama,112,62,37535,"Michael Apted,"
1,2923,3283,7395,Qu Culpa Tiene el Nio?,"Comedy,Romance",105,70,1349,Gustavo Loza,Qu Culpa Tiene el Nio?,"Art House,International,Comedy,Romance",105,66,133,"Gustavo Loza,"
0,1957,2197,11057,Match Point,"Drama,Romance,Mystery",119,77,168731,Woody Allen,Set Point,"Art House,International",,,52,"Ilmar Taska,"
0,4374,5732,2929,Beavis and Butt-Head,"Animation,Comedy,Musical",15,75,21552,Mike Judge,Beavis and Butt-head Do America,"Animation,Comedy",80,60,301636,"Mike Judge,Kim Jong-ho,Park Jun Nam,Yvette Kaplan,Chris Prynoski,Kim Jae Joong,"
0,7466,9925,4294,Invasion,Sci-Fi,0,,,,Home Invasion,"Horror,Mystery",90,50,137,"David Tennant,"
1,4957,6466,4105,The Mexican,"Adventure,Comedy,Crime",123,61,88211,Gore Verbinski,The Mexican,"Action,Adventure,Comedy,Drama",124,58,132167,"Gore Verbinski,"
0,2702,2954,5820,The Smoking Room,Comedy,30,80,632,,The Keeping Room,"Drama,Mystery,Western",86,64,1662,"Daniel Barber,"
0,10820,16444,18269,Rich Kids of Beverly Hills,Television,30,30,688,,Troop Beverly Hills,Comedy,100,52,31090,"Jeff Kanew,J. Kanew,"
0,10628,16002,14787,Staying Alive,"Drama,Musical,Romance",93,45,11392,Sylvester Stallone,Eating You Alive,Documentary,,,7,"Paul David Kennamer Jr.,"
0,13452,21563,8157,The Chase,Television,60,77,308,,The Chase,"Action,Adventure,Comedy",84,54,20004,"Adam Rifkin,"
0,2855,3208,4614,Twilight: Breaking Down/GOllum ON,"Animation,Comedy",12,54,10,,Twilight Saga: Breaking Dawn Part 1,"Mystery,Science Fiction,Fantasy,Romance",117,70,186141,"Bill Condon,"
0,12738,19971,2960,The Land of the Enlightened,"Documentary,Drama,War",87,74,226,Pieter-Jan De Pue,The Legend of the North Wind,"Animation,Special Interest",69,,9,
0,2885,3233,7720,American Crime,Drama,43,77,5848,John Ridley,American Me,Drama,126,82,10214,"Edward James Olmos,"
1,7866,10610,17584,The Wraith,"Action,Horror,Romance",93,59,10282,Mike Marvin,The Wraith,"Action,Adventure,Mystery,Science Fiction,Fantasy",93,66,9102,"Mike Marvin,"
0,12662,19807,14788,The Way of the Dragon,"Action,Comedy,Crime",90,73,23359,Bruce Lee,The Last Dragon,"Action,Adventure",,88,337,
1,5694,7376,10040,Edward Scissorhands,"Drama,Fantasy,Romance",105,79,362519,Tim Burton,Edward Scissorhands,"Drama,Science Fiction,Fantasy,Romance",100,76,1031461,"Tim Burton,"
1,5374,6920,16038,Gog,"Drama,Horror,Romance",83,55,714,Herbert L. Strock,Gog,"Classics,Mystery,Science Fiction,Fantasy",82,54,106,"Herbert L. Strock,"
0,7122,9397,890,The New Boss,Comedy,30,68,31,Nancy Hower,The Boss,Comedy,105,60,26291,"Ben Falcone,"
1,3664,4581,7549,Ziggy Stardust and the Spiders from Mars,"Documentary,Musical",90,75,1993,D.A. Pennebaker,Ziggy Stardust and the Spiders from Mars,"Documentary,Musical,Performing Arts,Special Interest",91,82,1887,"D.A. Pennebaker,"
1,82,91,66,The Light Between Oceans,"Drama,Romance",133,73,3720,Derek Cianfrance,The Light Between Oceans,"Drama,Romance",132,72,11113,"Derek Cianfrance,"
0,8926,12501,15728,Secret Garden,"Comedy,Drama,Fantasy",60,85,2413,,Secret Life,Drama,70,,2,"Rowan Joffe,"
1,11674,17734,12781,Hider in the House,Mystery,104,59,865,Matthew Patrick,Hider in the House,"Action,Adventure,Horror,Mystery",109,66,437,"Michael Patrick,Matthew Patrick,"
1,715,675,10732,Why Did I Get Married?,"Comedy,Drama",113,56,9908,Tyler Perry,Why Did I Get Married Too,"Comedy,Drama",120,68,119437,"Toyomichi Kurita,Tyler Perry,"
0,5433,7001,9722,Ghosts of Goldfield,Horror,88,31,566,Ed Winfield,Ghosts of Cit Soleil,Documentary,88,72,14211,"Asger Leth,Milos Loncarevic,"
0,5233,6762,2549,Big Business,Comedy,97,63,9155,Jim Abrahams,Women in Business,Comedy,,,24,"Jake Szymanski,"
1,3975,5113,1279,Joshy,Comedy,93,57,1273,Jeff Baena,Joshy,Comedy,93,68,597,"Jeff Baena,"
0,1309,1506,3462,Mission: Impossible,"Action,Adventure,Mystery",110,71,304750,Brian De Palma,Mission: Impossible Ghost Protocol,"Action,Adventure,Mystery",132,78,471854,"Brad Bird,"
0,4288,5527,5337,The Adventures of Supergirl,"Action,Adventure,Drama",42,87,1041,Glen Winter,The Adventures of Ragtime,,120,,1,"William Byron Hillman,"
0,7340,9746,16673,Tears of the Sea,"Action,Adventure,Fantasy",43,72,8,Michael Pattinson,Family of the Year,Comedy,,,2,"Joel Zwick,"
0,6632,8653,8004,Sweeney Todd Part 2,Comedy,0,,,,Sweeney Todd,"Drama,Horror,Mystery,Television",95,72,4609,"David Moore,Dave Moore,"
0,9549,13614,14923,Round Four,"Family,Television,Musical",122,52,9,Alex Rudzinski,Hard Four,Comedy,,,51,"Charles Dennis,"
0,2592,2780,4626,Untitled Nash Edgerton Project,"Action,Comedy,Drama",0,,,Nash Edgerton,Untitled Woody Allen Project,Comedy,,,13,"Woody Allen,"
0,6399,8242,18619,Sisters of Death,Mystery,87,44,702,Joe Mazzuca,Out of Depth,Drama,99,,5,
1,8122,11167,13814,Pennies from Heaven,"Drama,Musical,Romance",108,65,4272,Herbert Ross,Pennies From Heaven,"Drama,Musical,Performing Arts,Romance",107,66,3662,"Herbert Ross,"
1,11032,16858,10393,Lost and Delirious,"Drama,Romance",103,70,17254,La Pool,Lost and Delirious,"Drama,Romance",102,74,16116,"La Pool,"
0,3955,5094,17955,Dirty 30,Comedy,86,56,1002,Andrew Bush,Dirty lies,,94,56,14,"Jamie Marshall,"
0,12063,18597,12870,La Poison,"Comedy,Crime",85,77,580,Sacha Guitry,Sweet Poison,"Drama,Mystery",101,,61,
1,8607,12030,5931,Something to Talk About,"Comedy,Drama,Romance",106,57,10621,Lasse Hallstrm,Something to Talk About,"Comedy,Drama,Romance",106,60,41969,"Lasse Hallstrom,"
0,4451,5863,12023,The Last Kingdom,"Action,History,Romance",60,83,20230,,The Last Days,"Horror,Mystery",100,62,365,"David Pastor,Alex Pastor,"
1,8521,11915,8470,Being Human,"Comedy,Drama",122,54,3331,Bill Forsyth,Being Human,"Comedy,Drama",122,58,3218,"Bill Forsyth,"
1,9864,14125,4361,Anita & Me,"Comedy,Drama",89,64,1434,Metin Hseyin,Anita & Me,"Comedy,Drama",93,68,1586,"Metin Huseyin,"
0,8190,11311,12128,Split Second,"Action,Crime,Horror",90,62,8527,Tony Maylam,Split Screen,"Special Interest,Television",360,,39,
0,1028,1085,2427,X-Men: Evolution,"Animation,Action,Drama",23,79,6992,,Evolution,"Comedy,Science Fiction,Fantasy",102,58,258771,"Ivan Reitman,"
0,2724,2979,1153,Wyrd Sisters,"Animation,Comedy,Fantasy",140,72,703,,Sisters,"Comedy,Drama",123,66,39983,"Jason Moore,"
0,8018,10919,6848,One Dark Night,Horror,89,58,1286,Tom McLoughlin,One Part Sugar,Comedy,,,140,"Hart Bochner,"
0,11047,16894,1339,Chasing Valentine,"Drama,Mystery",87,82,41,Navin Ramaswaran,My Valentine,"Musical,Performing Arts",3,74,42,
1,7560,10070,11652,Shoot 'Em Up,"Action,Comedy,Crime",86,67,130777,Michael Davis,Shoot 'Em Up,"Action,Adventure,Drama,Mystery",87,68,325225,"Michael Davis,"
0,6572,8572,11129,Intruders,"Biography,Horror,Mystery",163,65,976,,The Intruders,Mystery,92,48,280,"Adam Massey,"
1,2224,2512,6845,Jeepers Creepers II,Horror,104,56,45829,Victor Salva,Jeepers Creepers 2,Horror,104,56,356755,"Victor Salva,"
0,6888,9129,11694,Wrath of the Titans,News,30,,,,Weight of the Nation,Documentary,,84,24,"Dan Chaykin,"
1,8868,12453,8155,Nadine,"Comedy,Mystery,Romance",83,55,3091,Robert Benton,Nadine,"Comedy,Drama,Romance",83,56,1729,"Robert Benton,"
0,9583,13657,16140,At Close Range,"Crime,Drama",111,70,10953,James Foley,Lawless Range,Western,,,0,"Sean McGinly,"
0,5721,7397,3053,Transformers: Age of Extinction,"Action,Adventure,Sci-Fi",165,57,245694,Michael Bay,Transformers: Revenge of the Fallen,"Action,Adventure,Science Fiction,Fantasy",149,70,4080302,"Michael Bay,"
0,8825,12338,1601,Five Nights at Freddy's,"Comedy,Horror",0,,,,Five Nights in Maine,Drama,82,58,80,"Maris Curran,"
1,6354,8161,17255,Way of the Wicked,"Fantasy,Mystery",92,39,1037,Kevin Carraway,Way of the Wicked,"Drama,Horror,Mystery",92,40,117,"Kevin Carraway,"
0,8026,10926,14927,The Big One,"Documentary,Comedy,Crime",91,71,7055,Michael Moore,The Big Thing,"Art House,International",,,49,"Aleks Horvat,"
0,11497,17485,13909,American Greed,Documentary,0,82,194,,American Yakuza,"Action,Adventure,Drama,Mystery",100,58,3466,"Frank Cappello,Frank A. Cappello,"
0,2716,2964,5487,Uncle,Comedy,30,78,1460,,Say Uncle,"Comedy,Drama,Adult",90,54,17579,"Peter Paige,"
0,9154,12901,4626,Untitled Marvel Project,,0,,,,Untitled Woody Allen Project,Comedy,,,13,"Woody Allen,"
0,7231,9561,14144,The November Man,"Action,Crime,Mystery",108,63,50985,Roger Donaldson,The Invisible Man,Horror,,,55,
